# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-10-05 14:02:57 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05427930 DORN (SPRING) CREEK AT CT HIGHWAY M NR WAUNAKEE,WI
# -----------------------------------------------------------------------------------
#
# Data provided for site 05427930
#            TS   parameter     statistic     Description
#        154946       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        154947       00010     00002     Temperature, water, degrees Celsius (Minimum)
#        154948       00010     00003     Temperature, water, degrees Celsius (Mean)
#        154952       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	154946_00010_00001	154946_00010_00001_cd	154947_00010_00002	154947_00010_00002_cd	154948_00010_00003	154948_00010_00003_cd	154952_00060_00003	154952_00060_00003_cd
USGS	05427930	2012-10-17							6.63	A
USGS	05427930	2012-10-18							7.17	A
USGS	05427930	2012-10-19							7.30	A
USGS	05427930	2012-10-20							6.54	A
USGS	05427930	2012-10-21							5.88	A
USGS	05427930	2012-10-22							5.87	A
USGS	05427930	2012-10-23							6.86	A
USGS	05427930	2012-10-24							6.66	A
USGS	05427930	2012-10-25							6.12	A
USGS	05427930	2012-10-26							6.27	A
USGS	05427930	2012-10-27							6.19	A
USGS	05427930	2012-10-28							5.98	A
USGS	05427930	2012-10-29							5.63	A
USGS	05427930	2012-10-30							5.05	A
USGS	05427930	2012-10-31							5.13	A
USGS	05427930	2012-11-01							5.10	A
USGS	05427930	2012-11-02							5.19	A
USGS	05427930	2012-11-03							5.16	A
USGS	05427930	2012-11-04							4.94	A
USGS	05427930	2012-11-05							4.91	A
USGS	05427930	2012-11-06							5.04	A
USGS	05427930	2012-11-07							5.02	A
USGS	05427930	2012-11-08							5.05	A
USGS	05427930	2012-11-09							4.92	A
USGS	05427930	2012-11-10							5.04	A
USGS	05427930	2012-11-11							5.61	A
USGS	05427930	2012-11-12							7.42	A
USGS	05427930	2012-11-13							6.93	A
USGS	05427930	2012-11-14							6.22	A
USGS	05427930	2012-11-15							5.73	A
USGS	05427930	2012-11-16							5.51	A
USGS	05427930	2012-11-17							5.31	A
USGS	05427930	2012-11-18							5.19	A
USGS	05427930	2012-11-19							5.07	A
USGS	05427930	2012-11-20							5.01	A
USGS	05427930	2012-11-21							4.92	A
USGS	05427930	2012-11-22							4.97	A
USGS	05427930	2012-11-23							4.76	A
USGS	05427930	2012-11-24							4.64	A
USGS	05427930	2012-11-25							4.55	A
USGS	05427930	2012-11-26							4.28	A
USGS	05427930	2012-11-27							4.21	A
USGS	05427930	2012-11-28							4.12	A
USGS	05427930	2012-11-29							4.34	A
USGS	05427930	2012-11-30							4.47	A
USGS	05427930	2012-12-01							4.66	A
USGS	05427930	2012-12-02							4.72	A
USGS	05427930	2012-12-03							4.68	A
USGS	05427930	2012-12-04							4.59	A
USGS	05427930	2012-12-05							4.44	A
USGS	05427930	2012-12-06							4.43	A
USGS	05427930	2012-12-07							4.42	A
USGS	05427930	2012-12-08							4.39	A
USGS	05427930	2012-12-09							4.23	A
USGS	05427930	2012-12-10							4.52	A
USGS	05427930	2012-12-11							4.31	A
USGS	05427930	2012-12-12							4.20	A
USGS	05427930	2012-12-13							4.34	A
USGS	05427930	2012-12-14							4.27	A
USGS	05427930	2012-12-15							5.17	A
USGS	05427930	2012-12-16							6.39	A
USGS	05427930	2012-12-17							6.04	A
USGS	05427930	2012-12-18							5.32	A
USGS	05427930	2012-12-19							4.93	A:e
USGS	05427930	2012-12-20							4.74	A:e
USGS	05427930	2012-12-21							4.44	A:e
USGS	05427930	2012-12-22							4.23	A:e
USGS	05427930	2012-12-23							4.38	A:e
USGS	05427930	2012-12-24							4.67	A:e
USGS	05427930	2012-12-25							4.90	A
USGS	05427930	2012-12-26							4.96	A
USGS	05427930	2012-12-27							4.75	A
USGS	05427930	2012-12-28							4.73	A
USGS	05427930	2012-12-29							4.65	A
USGS	05427930	2012-12-30							4.69	A
USGS	05427930	2012-12-31							4.77	A
USGS	05427930	2013-01-01							4.77	A
USGS	05427930	2013-01-02							4.77	A
USGS	05427930	2013-01-03							4.40	A
USGS	05427930	2013-01-04							4.14	A
USGS	05427930	2013-01-05							4.19	A
USGS	05427930	2013-01-06							4.17	A
USGS	05427930	2013-01-07							4.21	A
USGS	05427930	2013-01-08							4.15	A
USGS	05427930	2013-01-09							4.13	A
USGS	05427930	2013-01-10							4.14	A
USGS	05427930	2013-01-11							5.40	A
USGS	05427930	2013-01-12							8.67	A
USGS	05427930	2013-01-13							9.76	A
USGS	05427930	2013-01-14							7.71	A
USGS	05427930	2013-01-15							6.04	A
USGS	05427930	2013-01-16							5.35	A
USGS	05427930	2013-01-17							4.88	A
USGS	05427930	2013-01-18							4.72	A
USGS	05427930	2013-01-19							4.99	A
USGS	05427930	2013-01-20							5.42	A
USGS	05427930	2013-01-21							4.13	A
USGS	05427930	2013-01-22							3.45	A
USGS	05427930	2013-01-23							3.71	A
USGS	05427930	2013-01-24							4.18	A
USGS	05427930	2013-01-25							4.49	A
USGS	05427930	2013-01-26							4.60	A
USGS	05427930	2013-01-27							4.88	A
USGS	05427930	2013-01-28							5.35	A
USGS	05427930	2013-01-29							39.3	A
USGS	05427930	2013-01-30							63.4	A
USGS	05427930	2013-01-31							41.1	A
USGS	05427930	2013-02-01							18.1	A
USGS	05427930	2013-02-02							12.4	A
USGS	05427930	2013-02-03							10.5	A
USGS	05427930	2013-02-04							9.07	A
USGS	05427930	2013-02-05							8.20	A
USGS	05427930	2013-02-06							7.72	A
USGS	05427930	2013-02-07							7.76	A
USGS	05427930	2013-02-08							7.86	A
USGS	05427930	2013-02-09							7.80	A
USGS	05427930	2013-02-10							8.68	A
USGS	05427930	2013-02-11							17.5	A
USGS	05427930	2013-02-12							20.2	A
USGS	05427930	2013-02-13							18.3	A
USGS	05427930	2013-02-14							16.4	A
USGS	05427930	2013-02-15							14.3	A
USGS	05427930	2013-02-16							11.7	A
USGS	05427930	2013-02-17							9.40	A
USGS	05427930	2013-02-18							8.40	A
USGS	05427930	2013-02-19							8.50	A
USGS	05427930	2013-02-20							8.01	A
USGS	05427930	2013-02-21							7.60	A
USGS	05427930	2013-02-22							7.44	A
USGS	05427930	2013-02-23							7.41	A
USGS	05427930	2013-02-24							7.29	A
USGS	05427930	2013-02-25							7.16	A
USGS	05427930	2013-02-26							7.11	A
USGS	05427930	2013-02-27							7.40	A
USGS	05427930	2013-02-28							7.61	A
USGS	05427930	2013-03-01							7.08	A
USGS	05427930	2013-03-02							6.73	A
USGS	05427930	2013-03-03							6.71	A
USGS	05427930	2013-03-04							6.61	A
USGS	05427930	2013-03-05							6.75	A
USGS	05427930	2013-03-06							6.69	A
USGS	05427930	2013-03-07							6.46	A
USGS	05427930	2013-03-08							6.34	A
USGS	05427930	2013-03-09							6.63	A
USGS	05427930	2013-03-10							32.6	A
USGS	05427930	2013-03-11							216	A
USGS	05427930	2013-03-12							96.9	A
USGS	05427930	2013-03-13							51.8	A
USGS	05427930	2013-03-14							31.6	A
USGS	05427930	2013-03-15							24.6	A
USGS	05427930	2013-03-16							23.0	A
USGS	05427930	2013-03-17							21.8	A
USGS	05427930	2013-03-18							21.1	A
USGS	05427930	2013-03-19							19.0	A
USGS	05427930	2013-03-20							17.7	A
USGS	05427930	2013-03-21							16.8	A
USGS	05427930	2013-03-22							16.0	A
USGS	05427930	2013-03-23							16.0	A
USGS	05427930	2013-03-24							17.9	A
USGS	05427930	2013-03-25							15.1	A
USGS	05427930	2013-03-26							15.3	A
USGS	05427930	2013-03-27							32.0	A
USGS	05427930	2013-03-28							50.0	A
USGS	05427930	2013-03-29							73.5	A
USGS	05427930	2013-03-30							68.0	A
USGS	05427930	2013-03-31							52.7	A
USGS	05427930	2013-04-01							34.7	A
USGS	05427930	2013-04-02							15.8	A
USGS	05427930	2013-04-03							10.6	A
USGS	05427930	2013-04-04							9.27	A
USGS	05427930	2013-04-05							8.65	A
USGS	05427930	2013-04-06							8.27	A
USGS	05427930	2013-04-07							8.12	A
USGS	05427930	2013-04-08							12.2	A
USGS	05427930	2013-04-09							25.5	A
USGS	05427930	2013-04-10							51.6	A
USGS	05427930	2013-04-11							50.3	A
USGS	05427930	2013-04-12							33.5	A
USGS	05427930	2013-04-13							16.4	A
USGS	05427930	2013-04-14							10.3	A
USGS	05427930	2013-04-15							13.1	A
USGS	05427930	2013-04-16							12.4	A
USGS	05427930	2013-04-17							13.3	A
USGS	05427930	2013-04-18							37.1	A
USGS	05427930	2013-04-19							34.0	A
USGS	05427930	2013-04-20							16.1	A
USGS	05427930	2013-04-21							10.2	A
USGS	05427930	2013-04-22							7.86	A
USGS	05427930	2013-04-23							7.99	A
USGS	05427930	2013-04-24							6.80	A
USGS	05427930	2013-04-25							7.32	A
USGS	05427930	2013-04-26							7.97	A
USGS	05427930	2013-04-27							7.44	A
USGS	05427930	2013-04-28							7.89	A
USGS	05427930	2013-04-29							7.04	A
USGS	05427930	2013-04-30							7.99	A
USGS	05427930	2013-05-01							7.35	A
USGS	05427930	2013-05-02							6.30	A
USGS	05427930	2013-05-03							9.48	A
USGS	05427930	2013-05-04							12.2	A
USGS	05427930	2013-05-05							10.4	A
USGS	05427930	2013-05-06							8.22	A
USGS	05427930	2013-05-07							7.93	A
USGS	05427930	2013-05-08							6.95	A
USGS	05427930	2013-05-09							7.22	A
USGS	05427930	2013-05-10							27.3	A
USGS	05427930	2013-05-11							24.7	A
USGS	05427930	2013-05-12							13.3	A
USGS	05427930	2013-05-13							8.92	A
USGS	05427930	2013-05-14							7.82	A
USGS	05427930	2013-05-15							6.97	A
USGS	05427930	2013-05-16							6.42	A
USGS	05427930	2013-05-17							8.14	A
USGS	05427930	2013-05-18							7.22	A
USGS	05427930	2013-05-19							6.92	A
USGS	05427930	2013-05-20							10.2	A
USGS	05427930	2013-05-21							7.28	A
USGS	05427930	2013-05-22							6.35	A
USGS	05427930	2013-05-23							7.40	A
USGS	05427930	2013-05-24							6.08	A
USGS	05427930	2013-05-25							5.20	A
USGS	05427930	2013-05-26							5.15	A
USGS	05427930	2013-05-27							5.35	A
USGS	05427930	2013-05-28							10.5	A
USGS	05427930	2013-05-29							12.1	A
USGS	05427930	2013-05-30							13.6	A
USGS	05427930	2013-05-31							10.5	A
USGS	05427930	2013-06-01							7.77	A
USGS	05427930	2013-06-02							6.08	A
USGS	05427930	2013-06-03							5.25	A
USGS	05427930	2013-06-04							5.05	A
USGS	05427930	2013-06-05							5.29	A
USGS	05427930	2013-06-06							6.36	A
USGS	05427930	2013-06-07							6.45	A
USGS	05427930	2013-06-08							6.18	A
USGS	05427930	2013-06-09							5.96	A
USGS	05427930	2013-06-10							7.39	A
USGS	05427930	2013-06-11							7.23	A
USGS	05427930	2013-06-12							9.50	A
USGS	05427930	2013-06-13							24.1	A
USGS	05427930	2013-06-14							15.0	A
USGS	05427930	2013-06-15							9.93	A
USGS	05427930	2013-06-16							11.9	A
USGS	05427930	2013-06-17							9.96	A
USGS	05427930	2013-06-18							8.23	A
USGS	05427930	2013-06-19							7.18	A
USGS	05427930	2013-06-20							6.27	A
USGS	05427930	2013-06-21							7.47	A
USGS	05427930	2013-06-22							12.2	A
USGS	05427930	2013-06-23							60.9	A
USGS	05427930	2013-06-24							48.6	A
USGS	05427930	2013-06-25							32.7	A
USGS	05427930	2013-06-26							111	A
USGS	05427930	2013-06-27							91.4	A
USGS	05427930	2013-06-28							30.2	A
USGS	05427930	2013-06-29							23.0	A
USGS	05427930	2013-06-30							21.3	A
USGS	05427930	2013-07-01							18.9	A
USGS	05427930	2013-07-02							16.6	A
USGS	05427930	2013-07-03							15.4	A
USGS	05427930	2013-07-04							13.9	A
USGS	05427930	2013-07-05							12.9	A
USGS	05427930	2013-07-06							12.0	A
USGS	05427930	2013-07-07							10.8	A
USGS	05427930	2013-07-08							10.3	A
USGS	05427930	2013-07-09							10.6	A
USGS	05427930	2013-07-10							10.3	A
USGS	05427930	2013-07-11							10.4	A
USGS	05427930	2013-07-12							9.82	A
USGS	05427930	2013-07-13							8.94	A
USGS	05427930	2013-07-14							8.05	A
USGS	05427930	2013-07-15							7.19	A
USGS	05427930	2013-07-16							6.62	A
USGS	05427930	2013-07-17							5.99	A
USGS	05427930	2013-07-18							5.38	A
USGS	05427930	2013-07-19							4.85	A
USGS	05427930	2013-07-20							5.12	A
USGS	05427930	2013-07-21							6.19	A
USGS	05427930	2013-07-22							10.1	A
USGS	05427930	2013-07-23							9.62	A
USGS	05427930	2013-07-24							7.40	A
USGS	05427930	2013-07-25							6.86	A
USGS	05427930	2013-07-26							6.68	A
USGS	05427930	2013-07-27							7.37	A
USGS	05427930	2013-07-28							5.73	A
USGS	05427930	2013-07-29							5.65	A
USGS	05427930	2013-07-30							5.42	A
USGS	05427930	2013-07-31							5.41	A
USGS	05427930	2013-08-01							5.16	A
USGS	05427930	2013-08-02							5.91	A
USGS	05427930	2013-08-03							5.81	A
USGS	05427930	2013-08-04							5.52	A
USGS	05427930	2013-08-05							5.73	A
USGS	05427930	2013-08-06							5.87	A
USGS	05427930	2013-08-07							5.06	A
USGS	05427930	2013-08-08							4.36	A
USGS	05427930	2013-08-09							4.27	A
USGS	05427930	2013-08-10							3.97	A
USGS	05427930	2013-08-11							3.77	A
USGS	05427930	2013-08-12							4.22	A
USGS	05427930	2013-08-13							4.33	A
USGS	05427930	2013-08-14							5.00	A
USGS	05427930	2013-08-15							4.47	A
USGS	05427930	2013-08-16							4.33	A
USGS	05427930	2013-08-17							3.99	A
USGS	05427930	2013-08-18							3.77	A
USGS	05427930	2013-08-19							3.85	A
USGS	05427930	2013-08-20							3.28	A
USGS	05427930	2013-08-21							2.93	A
USGS	05427930	2013-08-22							6.59	A
USGS	05427930	2013-08-23							12.2	A
USGS	05427930	2013-08-24							9.59	A
USGS	05427930	2013-08-25							7.47	A
USGS	05427930	2013-08-26							6.27	A
USGS	05427930	2013-08-27							5.77	A
USGS	05427930	2013-08-28							5.72	A
USGS	05427930	2013-08-29							5.52	A
USGS	05427930	2013-08-30							5.13	A
USGS	05427930	2013-08-31							5.25	A
USGS	05427930	2013-09-01							5.29	A
USGS	05427930	2013-09-02							5.42	A
USGS	05427930	2013-09-03							5.06	A
USGS	05427930	2013-09-04							4.67	A
USGS	05427930	2013-09-05							4.56	A
USGS	05427930	2013-09-06							4.07	A
USGS	05427930	2013-09-07							3.92	A
USGS	05427930	2013-09-08							3.83	A
USGS	05427930	2013-09-09							3.83	A
USGS	05427930	2013-09-10							3.69	A
USGS	05427930	2013-09-11							4.59	A
USGS	05427930	2013-09-12							5.62	A
USGS	05427930	2013-09-13							5.06	A
USGS	05427930	2013-09-14							4.85	A
USGS	05427930	2013-09-15							7.05	A
USGS	05427930	2013-09-16							8.66	A
USGS	05427930	2013-09-17							6.77	A
USGS	05427930	2013-09-18							5.86	A
USGS	05427930	2013-09-19							10.9	A
USGS	05427930	2013-09-20							14.3	A
USGS	05427930	2013-09-21							11.3	A
USGS	05427930	2013-09-22							8.91	A
USGS	05427930	2013-09-23							7.12	A
USGS	05427930	2013-09-24							6.22	A
USGS	05427930	2013-09-25							5.87	A
USGS	05427930	2013-09-26							5.75	A
USGS	05427930	2013-09-27							5.68	A
USGS	05427930	2013-09-28							5.53	A
USGS	05427930	2013-09-29							5.66	A
USGS	05427930	2013-09-30							5.69	A
USGS	05427930	2013-10-01							5.64	A
USGS	05427930	2013-10-02							5.12	A
USGS	05427930	2013-10-03							5.11	A
USGS	05427930	2013-10-04							6.86	A
USGS	05427930	2013-10-05							7.40	A
USGS	05427930	2013-10-06							7.16	A
USGS	05427930	2013-10-07							6.14	A
USGS	05427930	2013-10-08							5.67	A
USGS	05427930	2013-10-09							5.22	A
USGS	05427930	2013-10-10							5.04	A
USGS	05427930	2013-10-11							5.01	A
USGS	05427930	2013-10-12							4.91	A
USGS	05427930	2013-10-13							4.88	A
USGS	05427930	2013-10-14							4.70	A
USGS	05427930	2013-10-15							5.04	A
USGS	05427930	2013-10-16							5.13	A
USGS	05427930	2013-10-17							5.28	A
USGS	05427930	2013-10-18							5.36	A
USGS	05427930	2013-10-19							5.27	A
USGS	05427930	2013-10-20							5.46	A
USGS	05427930	2013-10-21							5.49	A
USGS	05427930	2013-10-22							5.21	A
USGS	05427930	2013-10-23							4.99	A
USGS	05427930	2013-10-24							4.67	A
USGS	05427930	2013-10-25							4.56	A
USGS	05427930	2013-10-26							4.85	A
USGS	05427930	2013-10-27							4.89	A
USGS	05427930	2013-10-28							5.04	A
USGS	05427930	2013-10-29							5.05	A
USGS	05427930	2013-10-30							5.22	A
USGS	05427930	2013-10-31							6.36	A
USGS	05427930	2013-11-01							7.11	A
USGS	05427930	2013-11-02							6.79	A
USGS	05427930	2013-11-03							6.47	A
USGS	05427930	2013-11-04							6.34	A
USGS	05427930	2013-11-05							6.42	A
USGS	05427930	2013-11-06							9.39	A
USGS	05427930	2013-11-07							9.44	A
USGS	05427930	2013-11-08							8.99	A
USGS	05427930	2013-11-09							8.09	A
USGS	05427930	2013-11-10							7.46	A
USGS	05427930	2013-11-11							7.05	A
USGS	05427930	2013-11-12							6.54	A
USGS	05427930	2013-11-13							6.68	A
USGS	05427930	2013-11-14							6.69	A
USGS	05427930	2013-11-15							7.08	A
USGS	05427930	2013-11-16							7.76	A
USGS	05427930	2013-11-17							12.5	A
USGS	05427930	2013-11-18							16.2	A
USGS	05427930	2013-11-19							13.1	A
USGS	05427930	2013-11-20							10.0	A
USGS	05427930	2013-11-21							9.15	A
USGS	05427930	2013-11-22							8.49	A
USGS	05427930	2013-11-23							7.50	A
USGS	05427930	2013-11-24							8.06	A
USGS	05427930	2013-11-25							6.12	A
USGS	05427930	2013-11-26							5.69	A
USGS	05427930	2013-11-27							6.89	A
USGS	05427930	2013-11-28							5.32	A
USGS	05427930	2013-11-29							6.14	A
USGS	05427930	2013-11-30							5.73	A
USGS	05427930	2013-12-01							6.11	A
USGS	05427930	2013-12-02							6.24	A
USGS	05427930	2013-12-03							7.20	A
USGS	05427930	2013-12-04							8.57	A
USGS	05427930	2013-12-05							7.90	A:e
USGS	05427930	2013-12-06							6.59	A:e
USGS	05427930	2013-12-07							5.70	A:e
USGS	05427930	2013-12-08							5.23	A:e
USGS	05427930	2013-12-09							5.23	A:e
USGS	05427930	2013-12-10							5.19	A:e
USGS	05427930	2013-12-11							5.16	A:e
USGS	05427930	2013-12-12							5.09	A:e
USGS	05427930	2013-12-13							5.06	A:e
USGS	05427930	2013-12-14							5.06	A:e
USGS	05427930	2013-12-15							5.06	A:e
USGS	05427930	2013-12-16							5.05	A:e
USGS	05427930	2013-12-17							5.02	A:e
USGS	05427930	2013-12-18							5.03	A:e
USGS	05427930	2013-12-19							5.10	A:e
USGS	05427930	2013-12-20							4.95	A:e
USGS	05427930	2013-12-21							4.78	A:e
USGS	05427930	2013-12-22							4.75	A:e
USGS	05427930	2013-12-23							4.73	A:e
USGS	05427930	2013-12-24							4.70	A:e
USGS	05427930	2013-12-25							4.73	A:e
USGS	05427930	2013-12-26							4.73	A:e
USGS	05427930	2013-12-27							4.70	A:e
USGS	05427930	2013-12-28							4.75	A:e
USGS	05427930	2013-12-29							4.88	A:e
USGS	05427930	2013-12-30							4.92	A:e
USGS	05427930	2013-12-31							4.87	A:e
USGS	05427930	2014-01-01							4.84	A:e
USGS	05427930	2014-01-02							4.79	A:e
USGS	05427930	2014-01-03							4.76	A:e
USGS	05427930	2014-01-04							4.73	A:e
USGS	05427930	2014-01-05							4.71	A:e
USGS	05427930	2014-01-06							4.68	A:e
USGS	05427930	2014-01-07							4.58	A:e
USGS	05427930	2014-01-08							4.55	A:e
USGS	05427930	2014-01-09							4.50	A:e
USGS	05427930	2014-01-10							4.55	A:e
USGS	05427930	2014-01-11							4.92	A:e
USGS	05427930	2014-01-12							6.17	A:e
USGS	05427930	2014-01-13							6.99	A:e
USGS	05427930	2014-01-14							7.15	A:e
USGS	05427930	2014-01-15							6.88	A:e
USGS	05427930	2014-01-16							6.30	A:e
USGS	05427930	2014-01-17							5.84	A:e
USGS	05427930	2014-01-18							5.51	A:e
USGS	05427930	2014-01-19							5.29	A:e
USGS	05427930	2014-01-20							5.15	A:e
USGS	05427930	2014-01-21							5.04	A:e
USGS	05427930	2014-01-22							4.91	A:e
USGS	05427930	2014-01-23							4.83	A:e
USGS	05427930	2014-01-24							4.93	A:e
USGS	05427930	2014-01-25							4.83	A:e
USGS	05427930	2014-01-26							4.80	A:e
USGS	05427930	2014-01-27							4.77	A:e
USGS	05427930	2014-01-28							4.77	A:e
USGS	05427930	2014-01-29							4.83	A:e
USGS	05427930	2014-01-30							4.88	A:e
USGS	05427930	2014-01-31							4.85	A:e
USGS	05427930	2014-02-01							4.83	A:e
USGS	05427930	2014-02-02							4.82	A:e
USGS	05427930	2014-02-03							4.79	A:e
USGS	05427930	2014-02-04							4.77	A:e
USGS	05427930	2014-02-05							4.75	A:e
USGS	05427930	2014-02-06							4.70	A:e
USGS	05427930	2014-02-07							4.60	A:e
USGS	05427930	2014-02-08							4.57	A:e
USGS	05427930	2014-02-09							4.57	A:e
USGS	05427930	2014-02-10							4.55	A:e
