"record_id","param","sampledate","value"
"97","pH","2000-04-14","8.481"
"98","secchi","2000-04-14","3.960"
"99","Bacillariophyta","2000-04-14","0.543817233"
"100","Chlorophyta","2000-04-14","0.07418352"
"101","Cyanophyta","2000-04-14","0.745253772"
"102","DayLength","2000-04-14","13.22044854"
"103","Month","2000-04-27","4"
"104","Year","2000-04-27","00"
"105","Season","2000-04-27","spring"
"106","serialdate","2000-04-27","730603"
"107","Alk","2000-04-27","3694"
"108","Ca","2000-04-27","35.153"
"109","Chl","2000-04-27","3.952"
"110","Cl","2000-04-27","35.33"
"111","DIC","2000-04-27","47.19"
"112","DO","2000-04-27","11.306"
"113","DOC","2000-04-27","6.28"
"114","DOsat","2000-04-27","102.330"
"115","DRSilica","2000-04-27","0.257"
"116","Fe","2000-04-27","0.006"
"117","K","2000-04-27","3.47"
"118","Mg","2000-04-27","32.77"
"119","Mn","2000-04-27","0.02223"
"120","NH4","2000-04-27","0.2351"
"121","NO3NO2","2000-04-27","0.43548"
"122","Na","2000-04-27","16.26"
"123","SO4","2000-04-27","18.37"
"124","SRP","2000-04-27","0.0567"
"125","TIC","2000-04-27","47.413"
"126","TKN","2000-04-27","0.8707"
"127","TOC","2000-04-27","6.5183"
"128","TP","2000-04-27","0.082"
"129","Temp","2000-04-27","9.053"
"130","Zoop","2000-04-27","93109"
"131","pH","2000-04-27","8.521"
"132","secchi","2000-04-27","5.250"
"133","Bacillariophyta","2000-04-27","0.331537481"
"134","Chlorophyta","2000-04-27","0.087915041"
"135","Cyanophyta","2000-04-27","0.607389431"
"136","DayLength","2000-04-27","13.81799082"
"137","Month","2000-05-11","5"
"138","Year","2000-05-11","00"
"139","Season","2000-05-11","spring"
"140","serialdate","2000-05-11","730617"
"141","Alk","2000-05-11","3658"
"142","Ca","2000-05-11","34.246"
"143","Chl","2000-05-11","3.660"
"144","Cl","2000-05-11","34.72"
"145","DIC","2000-05-11","47.53"
"146","DO","2000-05-11","10.252"
"147","DOC","2000-05-11","6.22"
"148","DOsat","2000-05-11","101.035"
"149","DRSilica","2000-05-11","0.394"
"150","Fe","2000-05-11","0.005"
"151","K","2000-05-11","3.48"
"152","Mg","2000-05-11","32.29"
"153","Mn","2000-05-11","0.01663"
"154","NH4","2000-05-11","0.2052"
"155","NO3NO2","2000-05-11","0.43608"
"156","Na","2000-05-11","16.14"
"157","SO4","2000-05-11","18.10"
"158","SRP","2000-05-11","0.0520"
"159","TIC","2000-05-11","47.736"
"160","TKN","2000-05-11","0.8924"
"161","TOC","2000-05-11","6.1761"
"162","TP","2000-05-11","0.078"
"163","Temp","2000-05-11","12.618"
"164","Zoop","2000-05-11","102182"
"165","pH","2000-05-11","8.477"
"166","secchi","2000-05-11","4.430"
"167","Bacillariophyta","2000-05-11","0.119660144"
"168","Chlorophyta","2000-05-11","0.134894211"
"169","Cyanophyta","2000-05-11","0.641973299"
"170","DayLength","2000-05-11","14.38677139"
"171","Month","2000-05-25","5"
"172","Year","2000-05-25","00"
"173","Season","2000-05-25","spring"
"174","serialdate","2000-05-25","730631"
"175","Alk","2000-05-25","3630"
"176","Ca","2000-05-25","33.476"
"177","Chl","2000-05-25","3.394"
"178","Cl","2000-05-25","34.18"
"179","DIC","2000-05-25","45.71"
"180","DO","2000-05-25","9.608"
"181","DOC","2000-05-25","6.03"
"182","DOsat","2000-05-25","96.232"
"183","DRSilica","2000-05-25","0.622"
"184","Fe","2000-05-25","0.004"
"185","K","2000-05-25","3.48"
"186","Mg","2000-05-25","31.86"
"187","Mn","2000-05-25","0.01266"
"188","NH4","2000-05-25","0.2346"
"189","NO3NO2","2000-05-25","0.43615"
"190","Na","2000-05-25","16.03"
"191","SO4","2000-05-25","17.86"
"192","SRP","2000-05-25","0.0581"
"193","TIC","2000-05-25","45.941"
"194","TKN","2000-05-25","0.8770"
"195","TOC","2000-05-25","5.9614"
"196","TP","2000-05-25","0.085"
"197","Temp","2000-05-25","13.376"
"198","Zoop","2000-05-25","82881"
"199","pH","2000-05-25","8.452"
"200","secchi","2000-05-25","4.553"
"201","Bacillariophyta","2000-05-25","0.100848451"
"202","Chlorophyta","2000-05-25","0.045677381"
"203","Cyanophyta","2000-05-25","1.178520055"
"204","DayLength","2000-05-25","14.83429155"
"205","Month","2000-06-06","6"
"206","Year","2000-06-06","00"
"207","Season","2000-06-06","spring"
"208","serialdate","2000-06-06","730643"
"209","Alk","2000-06-06","3605"
"210","Ca","2000-06-06","32.842"
"211","Chl","2000-06-06","3.125"
"212","Cl","2000-06-06","33.75"
"213","DIC","2000-06-06","45.73"
"214","DO","2000-06-06","9.201"
"215","DOC","2000-06-06","5.99"
"216","DOsat","2000-06-06","96.565"
"217","DRSilica","2000-06-06","0.758"
"218","Fe","2000-06-06","0.003"
"219","K","2000-06-06","3.49"
"220","Mg","2000-06-06","31.60"
"221","Mn","2000-06-06","0.01481"
"222","NH4","2000-06-06","0.2226"
"223","NO3NO2","2000-06-06","0.46452"
"224","Na","2000-06-06","15.96"
"225","SO4","2000-06-06","17.64"
"226","SRP","2000-06-06","0.0674"
"227","TIC","2000-06-06","45.976"
"228","TKN","2000-06-06","0.8203"
"229","TOC","2000-06-06","5.8248"
"230","TP","2000-06-06","0.091"
"231","Temp","2000-06-06","15.227"
"232","Zoop","2000-06-06","78632"
"233","pH","2000-06-06","8.417"
"234","secchi","2000-06-06","3.296"
"235","Bacillariophyta","2000-06-06","0.044430141"
"236","Chlorophyta","2000-06-06","0.114171773"
"237","Cyanophyta","2000-06-06","1.423642696"
"238","DayLength","2000-06-06","15.08482953"
"239","Month","2000-06-20","6"
"240","Year","2000-06-20","00"
"241","Season","2000-06-20","spring"
"242","serialdate","2000-06-20","730657"
"243","Alk","2000-06-20","3572"
"244","Ca","2000-06-20","32.215"
"245","Chl","2000-06-20","5.619"
"246","Cl","2000-06-20","33.28"
"247","DIC","2000-06-20","44.21"
"248","DO","2000-06-20","9.163"
"249","DOC","2000-06-20","6.11"
"250","DOsat","2000-06-20","101.969"
"251","DRSilica","2000-06-20","0.994"
"252","Fe","2000-06-20","0.002"
"253","K","2000-06-20","3.49"
"254","Mg","2000-06-20","31.19"
"255","Mn","2000-06-20","0.01050"
"256","NH4","2000-06-20","0.0829"
"257","NO3NO2","2000-06-20","0.44481"
"258","Na","2000-06-20","15.86"
"259","SO4","2000-06-20","17.44"
"260","SRP","2000-06-20","0.0550"
"261","TIC","2000-06-20","44.141"
"262","TKN","2000-06-20","0.9350"
"263","TOC","2000-06-20","5.9703"
"264","TP","2000-06-20","0.095"
"265","Temp","2000-06-20","17.890"
"266","Zoop","2000-06-20","81073"
"267","pH","2000-06-20","8.430"
"268","secchi","2000-06-20","3.937"
"269","Bacillariophyta","2000-06-20","0.049230099"
"270","Chlorophyta","2000-06-20","0.018063364"
"271","Cyanophyta","2000-06-20","4.476446963"
"272","DayLength","2000-06-20","15.18774887"
"273","Month","2000-07-17","7"
"274","Year","2000-07-17","00"
"275","Season","2000-07-17","summer"
"276","serialdate","2000-07-17","730684"
"277","Alk","2000-07-17","3584"
"278","Ca","2000-07-17","31.983"
"279","Chl","2000-07-17","11.665"
"280","Cl","2000-07-17","33.10"
"281","DIC","2000-07-17","41.48"
"282","DO","2000-07-17","7.847"
"283","DOC","2000-07-17","6.41"
"284","DOsat","2000-07-17","95.098"
"285","DRSilica","2000-07-17","0.943"
"286","Fe","2000-07-17","0.002"
"287","K","2000-07-17","3.49"
"288","Mg","2000-07-17","31.07"
"289","Mn","2000-07-17","0.01167"
"290","NH4","2000-07-17","0.0326"
"291","NO3NO2","2000-07-17","0.08029"
"292","Na","2000-07-17","15.83"
"293","SO4","2000-07-17","17.34"
"294","SRP","2000-07-17","0.0223"
"295","TIC","2000-07-17","41.626"
"296","TKN","2000-07-17","1.0779"
"297","TOC","2000-07-17","6.1277"
"298","TP","2000-07-17","0.062"
"299","Temp","2000-07-17","21.039"
"300","Zoop","2000-07-17","57416"
"301","pH","2000-07-17","8.792"
"302","secchi","2000-07-17","1.846"
"303","Bacillariophyta","2000-07-17","0.045463416"
"304","Chlorophyta","2000-07-17","0.012072703"
"305","Cyanophyta","2000-07-17","11.26577205"
"306","DayLength","2000-07-17","14.78665685"
"307","Month","2000-08-01","8"
"308","Year","2000-08-01","00"
"309","Season","2000-08-01","summer"
"310","serialdate","2000-08-01","730699"
"311","Alk","2000-08-01","3594"
"312","Ca","2000-08-01","32.226"
"313","Chl","2000-08-01","7.801"
"314","Cl","2000-08-01","33.29"
"315","DIC","2000-08-01","41.63"
"316","DO","2000-08-01","6.161"
"317","DOC","2000-08-01","6.34"
"318","DOsat","2000-08-01","73.644"
"319","DRSilica","2000-08-01","1.027"
"320","Fe","2000-08-01","0.002"
"321","K","2000-08-01","3.49"
"322","Mg","2000-08-01","31.31"
"323","Mn","2000-08-01","0.01824"
"324","NH4","2000-08-01","0.0281"
"325","NO3NO2","2000-08-01","0.06000"
"326","Na","2000-08-01","15.89"
"327","SO4","2000-08-01","17.42"
"328","SRP","2000-08-01","0.0368"
"329","TIC","2000-08-01","42.081"
"330","TKN","2000-08-01","0.9866"
"331","TOC","2000-08-01","6.4941"
"332","TP","2000-08-01","0.077"
"333","Temp","2000-08-01","20.786"
"334","Zoop","2000-08-01","63018"
"335","pH","2000-08-01","8.626"
"336","secchi","2000-08-01","2.105"
"337","Bacillariophyta","2000-08-01","0.305838619"
"338","Chlorophyta","2000-08-01","0.017028546"
"339","Cyanophyta","2000-08-01","1.590338175"
"340","DayLength","2000-08-01","14.28309931"
"341","Month","2000-08-17","8"
"342","Year","2000-08-17","00"
"343","Season","2000-08-17","summer"
"344","serialdate","2000-08-17","730715"
"345","Alk","2000-08-17","3593"
"346","Ca","2000-08-17","32.386"
"347","Chl","2000-08-17","12.321"
"348","Cl","2000-08-17","33.44"
"349","DIC","2000-08-17","41.76"
"350","DO","2000-08-17","5.533"
"351","DOC","2000-08-17","5.89"
"352","DOsat","2000-08-17","68.047"
"353","DRSilica","2000-08-17","0.942"
"354","Fe","2000-08-17","0.002"
"355","K","2000-08-17","3.49"
"356","Mg","2000-08-17","31.53"
"357","Mn","2000-08-17","0.02551"
"358","NH4","2000-08-17","0.0376"
"359","NO3NO2","2000-08-17","0.03579"
"360","Na","2000-08-17","15.95"
"361","SO4","2000-08-17","17.46"
"362","SRP","2000-08-17","0.0170"
"363","TIC","2000-08-17","41.795"
"364","TKN","2000-08-17","0.9041"
"365","TOC","2000-08-17","5.6339"
"366","TP","2000-08-17","0.058"
"367","Temp","2000-08-17","21.776"
"368","Zoop","2000-08-17","54230"
"369","pH","2000-08-17","8.705"
"370","secchi","2000-08-17","1.689"
"371","Bacillariophyta","2000-08-17","0.061786198"
"372","Chlorophyta","2000-08-17","0.021670509"
"373","Cyanophyta","2000-08-17","6.690877799"
"374","DayLength","2000-08-17","13.60563986"
"375","Month","2000-09-12","9"
"376","Year","2000-09-12","00"
"377","Season","2000-09-12","summer"
"378","serialdate","2000-09-12","730741"
"379","Alk","2000-09-12","3588"
"380","Ca","2000-09-12","32.232"
"381","Chl","2000-09-12","6.723"
"382","Cl","2000-09-12","33.21"
"383","DIC","2000-09-12","43.42"
"384","DO","2000-09-12","6.889"
"385","DOC","2000-09-12","5.77"
"386","DOsat","2000-09-12","77.124"
"387","DRSilica","2000-09-12","0.927"
"388","Fe","2000-09-12","0.001"
"389","K","2000-09-12","3.52"
"390","Mg","2000-09-12","31.81"
"391","Mn","2000-09-12","0.04060"
"392","NH4","2000-09-12","0.1517"
"393","NO3NO2","2000-09-12","0.11988"
"394","Na","2000-09-12","16.02"
"395","SO4","2000-09-12","17.31"
"396","SRP","2000-09-12","0.0486"
"397","TIC","2000-09-12","43.534"
"398","TKN","2000-09-12","0.9439"
"399","TOC","2000-09-12","5.6846"
"400","TP","2000-09-12","0.088"
"401","Temp","2000-09-12","18.401"
"402","Zoop","2000-09-12","66105"
"403","pH","2000-09-12","8.511"
"404","secchi","2000-09-12","2.671"
"405","Bacillariophyta","2000-09-12","0.11960145"
"406","Chlorophyta","2000-09-12","0.059467702"
"407","Cyanophyta","2000-09-12","4.811552976"
"408","DayLength","2000-09-12","12.34821912"
"409","Month","2000-09-26","9"
"410","Year","2000-09-26","00"
"411","Season","2000-09-26","fall"
"412","serialdate","2000-09-26","730755"
"413","Alk","2000-09-26","3568"
"414","Ca","2000-09-26","32.332"
"415","Chl","2000-09-26","4.434"
"416","Cl","2000-09-26","33.34"
"417","DIC","2000-09-26","43.93"
"418","DO","2000-09-26","6.615"
"419","DOC","2000-09-26","5.57"
"420","DOsat","2000-09-26","73.021"
"421","DRSilica","2000-09-26","1.022"
"422","Fe","2000-09-26","0.000"
"423","K","2000-09-26","3.52"
"424","Mg","2000-09-26","32.06"
"425","Mn","2000-09-26","0.05036"
"426","NH4","2000-09-26","0.2177"
"427","NO3NO2","2000-09-26","0.03753"
"428","Na","2000-09-26","16.09"
"429","SO4","2000-09-26","17.33"
"430","SRP","2000-09-26","0.0554"
"431","TIC","2000-09-26","43.643"
"432","TKN","2000-09-26","0.9975"
"433","TOC","2000-09-26","5.4923"
"434","TP","2000-09-26","0.088"
"435","Temp","2000-09-26","17.420"
"436","Zoop","2000-09-26","76627"
"437","pH","2000-09-26","8.477"
"438","secchi","2000-09-26","2.525"
"439","Bacillariophyta","2000-09-26","0.249560169"
"440","Chlorophyta","2000-09-26","0.07736019"
"441","Cyanophyta","2000-09-26","1.758287899"
"442","DayLength","2000-09-26","11.64552268"
"443","Month","2000-10-10","10"
"444","Year","2000-10-10","00"
"445","Season","2000-10-10","fall"
"446","serialdate","2000-10-10","730769"
"447","Alk","2000-10-10","3592"
"448","Ca","2000-10-10","32.408"
"449","Chl","2000-10-10","5.363"
"450","Cl","2000-10-10","33.51"
"451","DIC","2000-10-10","44.30"
"452","DO","2000-10-10","7.339"
"453","DOC","2000-10-10","5.72"
"454","DOsat","2000-10-10","77.851"
"455","DRSilica","2000-10-10","0.770"
"456","Fe","2000-10-10","0.000"
"457","K","2000-10-10","3.53"
"458","Mg","2000-10-10","32.36"
"459","Mn","2000-10-10","0.06301"
"460","NH4","2000-10-10","0.2503"
"461","NO3NO2","2000-10-10","0.13744"
"462","Na","2000-10-10","16.18"
"463","SO4","2000-10-10","17.38"
"464","SRP","2000-10-10","0.0665"
"465","TIC","2000-10-10","44.172"
"466","TKN","2000-10-10","0.9958"
"467","TOC","2000-10-10","5.6138"
"468","TP","2000-10-10","0.099"
"469","Temp","2000-10-10","16.122"
"470","Zoop","2000-10-10","81183"
"471","pH","2000-10-10","8.421"
"472","secchi","2000-10-10","3.353"
"473","Bacillariophyta","2000-10-10","0.104816273"
"474","Chlorophyta","2000-10-10","0.061197213"
"475","Cyanophyta","2000-10-10","2.892592366"
"476","DayLength","2000-10-10","10.95390906"
"477","Month","2000-10-24","10"
"478","Year","2000-10-24","00"
"479","Season","2000-10-24","fall"
"480","serialdate","2000-10-24","730783"
"481","Alk","2000-10-24","3559"
"482","Ca","2000-10-24","32.430"
"483","Chl","2000-10-24","2.450"
"484","Cl","2000-10-24","33.77"
"485","DIC","2000-10-24","45.66"
"486","DO","2000-10-24","7.287"
"487","DOC","2000-10-24","5.62"
"488","DOsat","2000-10-24","75.287"
"489","DRSilica","2000-10-24","0.254"
"490","Fe","2000-10-24","0.000"
"491","K","2000-10-24","3.53"
"492","Mg","2000-10-24","32.75"
"493","Mn","2000-10-24","0.08070"
"494","NH4","2000-10-24","0.4338"
"495","NO3NO2","2000-10-24","0.07711"
"496","Na","2000-10-24","16.30"
"497","SO4","2000-10-24","17.44"
"498","SRP","2000-10-24","0.1032"
"499","TIC","2000-10-24","45.195"
"500","TKN","2000-10-24","1.0663"
"501","TOC","2000-10-24","5.4830"
"502","TP","2000-10-24","0.127"
"503","Temp","2000-10-24","14.352"
"504","Zoop","2000-10-24","124592"
"505","pH","2000-10-24","8.269"
"506","secchi","2000-10-24","4.876"
"507","Bacillariophyta","2000-10-24","0.026023225"
"508","Chlorophyta","2000-10-24","0.085584391"
"509","Cyanophyta","2000-10-24","0.66175804"
"510","DayLength","2000-10-24","10.29838175"
"511","Month","2000-11-28","11"
"512","Year","2000-11-28","00"
"513","Season","2000-11-28","fall"
"514","serialdate","2000-11-28","730818"
"515","Alk","2000-11-28","3819"
"516","Ca","2000-11-28","33.091"
"517","Chl","2000-11-28","1.495"
"518","Cl","2000-11-28","33.25"
"519","DIC","2000-11-28","46.44"
"520","DO","2000-11-28","11.047"
"521","DOC","2000-11-28","5.65"
"522","DOsat","2000-11-28","94.438"
"523","DRSilica","2000-11-28","0.740"
"524","Fe","2000-11-28","0.000"
"525","K","2000-11-28","3.53"
"526","Mg","2000-11-28","32.31"
"527","Mn","2000-11-28","0.05907"
"528","NH4","2000-11-28","0.5555"
"529","NO3NO2","2000-11-28","0.21797"
"530","Na","2000-11-28","16.16"
"531","SO4","2000-11-28","17.23"
"532","SRP","2000-11-28","0.1144"
"533","TIC","2000-11-28","46.224"
"534","TKN","2000-11-28","1.1441"
"535","TOC","2000-11-28","5.5830"
"536","TP","2000-11-28","0.131"
"537","Temp","2000-11-28","6.517"
"538","Zoop","2000-11-28","85287"
"539","pH","2000-11-28","8.300"
"540","secchi","2000-11-28","4.190"
"541","Bacillariophyta","2000-11-28","0.209080831"
"542","Chlorophyta","2000-11-28","0.043765454"
"543","Cyanophyta","2000-11-28","2.601975628"
"544","DayLength","2000-11-28","9.058444562"
"545","Month","2001-03-13","3"
"546","Year","2001-03-13","01"
"547","Season","2001-03-13","winter"
"548","serialdate","2001-03-13","730923"
"549","Alk","2001-03-13","3734"
"550","Ca","2001-03-13","34.682"
"551","Chl","2001-03-13","10.568"
"552","Cl","2001-03-13","33.15"
"553","DIC","2001-03-13","46.26"
"554","DO","2001-03-13","10.948"
"555","DOC","2001-03-13","5.76"
"556","DOsat","2001-03-13","93.013"
"557","DRSilica","2001-03-13","0.746"
"558","Fe","2001-03-13","0.002"
"559","K","2001-03-13","3.50"
"560","Mg","2001-03-13","32.65"
"561","Mn","2001-03-13","0.06567"
"562","NH4","2001-03-13","0.0734"
"563","NO3NO2","2001-03-13","0.70356"
"564","Na","2001-03-13","16.47"
"565","SO4","2001-03-13","16.71"
"566","SRP","2001-03-13","0.0899"
"567","TIC","2001-03-13","46.368"
"568","TKN","2001-03-13","0.8326"
"569","TOC","2001-03-13","5.5918"
"570","TP","2001-03-13","0.123"
"571","Temp","2001-03-13","6.787"
"572","Zoop","2001-03-13","38609"
"573","pH","2001-03-13","8.384"
"574","secchi","2001-03-13","3.352"
"575","Bacillariophyta","2001-03-13","0.253311327"
"576","Chlorophyta","2001-03-13","0.015169797"
"577","Cyanophyta","2001-03-13","0.336668722"
"578","DayLength","2001-03-13","11.62049867"
"579","Month","2001-04-23","4"
"580","Year","2001-04-23","01"
"581","Season","2001-04-23","spring"
"582","serialdate","2001-04-23","730964"
"583","Alk","2001-04-23","3919"
"584","Ca","2001-04-23","36.434"
"585","Chl","2001-04-23","6.339"
"586","Cl","2001-04-23","32.92"
"587","DIC","2001-04-23","46.78"
"588","DO","2001-04-23","12.663"
"589","DOC","2001-04-23","5.85"
"590","DOsat","2001-04-23","113.380"
"591","DRSilica","2001-04-23","0.424"
"592","Fe","2001-04-23","0.000"
"593","K","2001-04-23","3.46"
"594","Mg","2001-04-23","32.58"
"595","Mn","2001-04-23","0.11650"
"596","NH4","2001-04-23","0.0607"
"597","NO3NO2","2001-04-23","0.75746"
"598","Na","2001-04-23","16.50"
"599","SO4","2001-04-23","16.65"
"600","SRP","2001-04-23","0.0584"
"601","TIC","2001-04-23","46.434"
"602","TKN","2001-04-23","0.7657"
"603","TOC","2001-04-23","5.5389"
"604","TP","2001-04-23","0.093"
"605","Temp","2001-04-23","8.564"
"606","Zoop","2001-04-23","51958"
"607","pH","2001-04-23","8.504"
"608","secchi","2001-04-23","3.008"
"609","Bacillariophyta","2001-04-23","1.405161285"
"610","Chlorophyta","2001-04-23","0.039510532"
"611","Cyanophyta","2001-04-23","0.169849561"
"612","DayLength","2001-04-23","13.62835767"
"613","Month","2001-05-21","5"
"614","Year","2001-05-21","01"
"615","Season","2001-05-21","spring"
"616","serialdate","2001-05-21","730992"
"617","Alk","2001-05-21","3704"
"618","Ca","2001-05-21","35.077"
"619","Chl","2001-05-21","3.388"
"620","Cl","2001-05-21","33.17"
"621","DIC","2001-05-21","45.96"
"622","DO","2001-05-21","9.247"
"623","DOC","2001-05-21","5.35"
"624","DOsat","2001-05-21","97.466"
"625","DRSilica","2001-05-21","0.560"
"626","Fe","2001-05-21","0.003"
"627","K","2001-05-21","3.46"
"628","Mg","2001-05-21","32.66"
"629","Mn","2001-05-21","0.06259"
"630","NH4","2001-05-21","0.1146"
"631","NO3NO2","2001-05-21","0.68853"
"632","Na","2001-05-21","16.61"
"633","SO4","2001-05-21","16.44"
"634","SRP","2001-05-21","0.0674"
"635","TIC","2001-05-21","46.223"
"636","TKN","2001-05-21","0.7254"
"637","TOC","2001-05-21","5.2756"
"638","TP","2001-05-21","0.090"
"639","Temp","2001-05-21","15.356"
"640","Zoop","2001-05-21","65099"
"641","pH","2001-05-21","8.468"
"642","secchi","2001-05-21","4.363"
"643","Bacillariophyta","2001-05-21","0.09995642"
"644","Chlorophyta","2001-05-21","0.011849868"
"645","Cyanophyta","2001-05-21","0.286632277"
"646","DayLength","2001-05-21","14.71418141"
"647","Month","2001-06-04","6"
"648","Year","2001-06-04","01"
"649","Season","2001-06-04","spring"
"650","serialdate","2001-06-04","731006"
"651","Alk","2001-06-04","3656"
"652","Ca","2001-06-04","35.062"
"653","Chl","2001-06-04","2.859"
"654","Cl","2001-06-04","33.21"
"655","DIC","2001-06-04","46.06"
"656","DO","2001-06-04","8.797"
"657","DOC","2001-06-04","5.30"
"658","DOsat","2001-06-04","91.982"
"659","DRSilica","2001-06-04","0.840"
"660","Fe","2001-06-04","0.010"
"661","K","2001-06-04","3.47"
"662","Mg","2001-06-04","32.67"
"663","Mn","2001-06-04","0.06396"
"664","NH4","2001-06-04","0.1511"
"665","NO3NO2","2001-06-04","0.62029"
"666","Na","2001-06-04","16.64"
"667","SO4","2001-06-04","16.27"
"668","SRP","2001-06-04","0.0716"
"669","TIC","2001-06-04","46.445"
"670","TKN","2001-06-04","0.7605"
"671","TOC","2001-06-04","5.0716"
"672","TP","2001-06-04","0.097"
"673","Temp","2001-06-04","15.018"
"674","Zoop","2001-06-04","60960"
"675","pH","2001-06-04","8.466"
"676","secchi","2001-06-04","5.223"
"677","Bacillariophyta","2001-06-04","0.068133013"
"678","Chlorophyta","2001-06-04","0.009156149"
"679","Cyanophyta","2001-06-04","0.358584294"
"680","DayLength","2001-06-04","15.0486084"
"681","Month","2001-07-02","7"
"682","Year","2001-07-02","01"
"683","Season","2001-07-02","summer"
"684","serialdate","2001-07-02","731034"
"685","Alk","2001-07-02","3582"
"686","Ca","2001-07-02","34.613"
"687","Chl","2001-07-02","19.637"
"688","Cl","2001-07-02","33.37"
"689","DIC","2001-07-02","44.36"
"690","DO","2001-07-02","7.545"
"691","DOC","2001-07-02","5.55"
"692","DOsat","2001-07-02","87.403"
"693","DRSilica","2001-07-02","1.191"
"694","Fe","2001-07-02","0.011"
"695","K","2001-07-02","3.45"
"696","Mg","2001-07-02","32.71"
"697","Mn","2001-07-02","0.04202"
"698","NH4","2001-07-02","0.0303"
"699","NO3NO2","2001-07-02","0.22771"
"700","Na","2001-07-02","16.76"
"701","SO4","2001-07-02","16.09"
"702","SRP","2001-07-02","0.0642"
"703","TIC","2001-07-02","44.683"
"704","TKN","2001-07-02","0.9965"
"705","TOC","2001-07-02","5.4523"
"706","TP","2001-07-02","0.099"
"707","Temp","2001-07-02","19.186"
"708","Zoop","2001-07-02","46452"
"709","pH","2001-07-02","8.399"
"710","secchi","2001-07-02","2.321"
"711","Bacillariophyta","2001-07-02","0.192218886"
"712","Chlorophyta","2001-07-02","0.005299739"
"713","Cyanophyta","2001-07-02","4.829022109"
"714","DayLength","2001-07-02","15.10605211"
